Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
288,8392/0,400,C77.0
287,8391/0,400,C77.0
286,8390/3,400,C77.0
285,8390/0,400,C77.0
272,8373/0,400,C77.0
282,8383/3,400,C77.0
1162,8339/3,400,C77.0
280,8381/3,400,C77.0
279,8381/1,400,C77.0
278,8381/0,400,C77.0
277,8380/3,400,C77.0
1165,8380/2,400,C77.0
276,8380/1,400,C77.0
275,8380/0,400,C77.0
283,8384/3,400,C77.0
233,8315/3,400,C77.0
240,8322/0,400,C77.0
239,8321/0,400,C77.0
238,8320/3,400,C77.0
237,8319/3,400,C77.0
236,8318/3,400,C77.0
235,8317/3,400,C77.0
258,8341/3,400,C77.0
1158,8316/1,400,C77.0
1159,8323/1,400,C77.0
232,8314/3,400,C77.0
152,8175/3,400,C77.0
230,8313/1,400,C77.0
159,8201/2,400,C77.0
228,8312/3,400,C77.0
1157,8311/3,400,C77.0
227,8311/1,400,C77.0
234,8316/3,400,C77.0
249,8331/3,400,C77.0
226,8310/3,400,C77.0
256,8337/3,400,C77.0
1161,8336/1,400,C77.0
254,8335/3,400,C77.0
1160,8335/1,400,C77.0
253,8334/0,400,C77.0
252,8333/3,400,C77.0
241,8322/3,400,C77.0
250,8332/3,400,C77.0
242,8323/0,400,C77.0
248,8330/3,400,C77.0
247,8330/1,400,C77.0
246,8330/0,400,C77.0
245,8325/0,400,C77.0
244,8324/0,400,C77.0
243,8323/3,400,C77.0
257,8340/3,400,C77.0
251,8333/0,400,C77.0
56,8070/3,400,C77.0
51,8052/2,400,C77.0
61,8074/3,400,C77.0
60,8073/3,400,C77.0
59,8072/3,400,C77.0
1141,8072/0,400,C77.0
58,8071/3,400,C77.0
63,8076/2,400,C77.0
57,8070/6,400,C77.0
64,8076/3,400,C77.0
55,8070/2,400,C77.0
1139,8070/0,400,C77.0
54,8060/0,400,C77.0
1138,8054/3,400,C77.0
1137,8054/0,400,C77.0
53,8053/0,400,C77.0
154,8190/0,400,C77.0
1140,8071/2,400,C77.0
1142,8084/0,400,C77.0
78,8093/3,400,C77.0
77,8092/3,400,C77.0
76,8091/3,400,C77.0
75,8090/3,400,C77.0
74,8090/1,400,C77.0
1144,8086/3,400,C77.0
62,8075/3,400,C77.0
72,8084/3,400,C77.0
50,8052/0,400,C77.0
71,8083/3,400,C77.0
70,8082/3,400,C77.0
69,8081/2,400,C77.0
68,8080/2,400,C77.0
67,8078/3,400,C77.0
66,8077/2,400,C77.0
65,8077/0,400,C77.0
1143,8085/3,400,C77.0
23,8012/3,400,C77.0
52,8052/3,400,C77.0
1136,8023/3,400,C77.0
29,8022/3,400,C77.0
28,8021/3,400,C77.0
27,8020/3,400,C77.0
26,8015/3,400,C77.0
31,8031/3,400,C77.0
24,8013/3,400,C77.0
32,8032/3,400,C77.0
22,8011/3,400,C77.0
21,8011/0,400,C77.0
20,8010/9,400,C77.0
19,8010/6,400,C77.0
18,8010/3,400,C77.0
17,8010/2,400,C77.0
16,8010/0,400,C77.0
25,8014/3,400,C77.0
40,8043/3,400,C77.0
49,8051/3,400,C77.0
48,8051/0,400,C77.0
47,8050/3,400,C77.0
46,8050/2,400,C77.0
45,8050/0,400,C77.0
43,8046/3,400,C77.0
30,8030/3,400,C77.0
41,8044/3,400,C77.0
81,8096/0,400,C77.0
39,8042/3,400,C77.0
38,8041/3,400,C77.0
37,8040/1,400,C77.0
36,8040/0,400,C77.0
